,predicted_mean
10,183.12489287604282
11,189.3627752331437
12,191.17512141775757
13,193.2477489617292
14,194.07445806934393
15,194.79572666719514
16,195.1402781112999
17,195.39953500603463
18,195.53713026886425
19,195.63231558023824
